seq,mre,inf_time,fps,map,miss_rate
0000,0.089,118.26,8.5,0.76,43.75
0001,0.0829,104.44,9.6,0.8,6.74
0002,0.0787,147.2,6.8,0.83,16.67
0003,0.1024,96.66,10.3,0.87,0.0
0004,0.1491,80.11,12.5,0.82,3.57
0006,0.0394,71.08,14.1,0.81,0.0
0007,0.0738,76.23,13.1,0.8,2.92
0009,0.0781,76.94,13.0,0.77,4.32
0010,0.0878,82.34,12.1,0.9,0.0
0011,0.1034,74.91,13.3,0.85,3.69
0013,0.0357,75.71,13.2,0.77,0.0
0015,0.2052,70.01,14.3,0.79,8.21
0016,0.1184,72.53,13.8,0.74,5.28
0018,0.1557,74.52,13.4,0.87,0.0
0019,0.1199,82.68,12.1,0.71,4.66
0020,0.1497,76.32,13.1,0.88,0.0
