seq,mre,inf_time,fps,map,miss_rate
0000,0.1374,87.43,11.4,0.72,47.49
0001,0.0944,74.07,13.5,0.77,11.8
0002,0.1657,73.69,13.6,0.8,16.67
0003,0.1615,93.58,10.7,0.86,0.0
0004,0.1213,80.46,12.4,0.75,1.37
0006,0.1454,70.37,14.2,0.8,0.74
0007,0.1225,76.8,13.0,0.79,8.7
0009,0.1676,79.91,12.5,0.74,12.03
0010,0.092,99.42,10.1,0.9,0.0
0011,0.1074,89.94,11.1,0.84,7.16
0013,0.1321,108.12,9.2,0.73,10.75
0015,0.4093,85.27,11.7,0.79,6.4
0016,0.1587,105.71,9.5,0.73,14.59
0017,0.5361,77.26,12.9,0.8,0.53
0018,0.3444,86.91,11.5,0.85,1.71
0019,0.219,78.3,12.8,0.71,7.63
0020,0.2885,79.1,12.6,0.85,1.36
