seq,mre,inf_time,fps,map,miss_rate
0000,0.0938,84.67,11.8,0.7,41.38
0001,0.0964,30.02,33.3,0.74,11.29
0002,0.084,30.65,32.6,0.81,16.67
0003,0.1053,33.16,30.2,0.86,0.0
0004,0.135,30.67,32.6,0.79,2.41
0006,0.0462,31.74,31.5,0.84,4.63
0007,0.0732,30.17,33.2,0.77,9.83
0009,0.096,30.89,32.4,0.73,13.51
0010,0.082,30.76,32.5,0.89,0.0
0011,0.0987,31.08,32.2,0.86,8.18
0013,0.0472,30.13,33.2,0.73,7.78
0015,0.3224,31.33,31.9,0.76,5.52
0016,0.1179,31.55,31.7,0.71,11.6
0017,0.443,34.31,29.1,0.79,1.25
0018,0.3259,31.38,31.9,0.85,1.26
0019,0.3184,29.89,33.5,0.7,6.76
0020,0.2281,29.88,33.5,0.86,4.69
0019,1.6916,30.43,32.9,0.7,6.75
