seq,mre,inf_time,fps,map,miss_rate
0000,0.0985,35.15,28.4,0.7,41.38
0001,0.0918,29.61,33.8,0.74,11.29
0002,0.1191,29.67,33.7,0.81,16.67
0003,0.1299,31.23,32.0,0.86,0.0
0004,0.1365,30.76,32.5,0.79,2.41
0006,0.0996,31.49,31.8,0.84,4.63
0007,0.0691,30.19,33.1,0.77,9.83
0009,0.0926,30.4,32.9,0.73,13.51
0010,0.0866,31.57,31.7,0.89,0.0
0011,0.1012,31.59,31.7,0.86,8.18
0013,0.0785,30.64,32.6,0.73,7.78
0015,0.3532,30.47,32.8,0.76,5.52
0016,0.1308,33.17,30.1,0.71,11.6
0017,0.4835,34.85,28.7,0.79,1.25
0018,0.3469,31.22,32.0,0.85,1.26
0019,0.5512,29.97,33.4,0.7,6.75
0020,0.2314,30.12,33.2,0.86,4.69
