seq,mre,inf_time,fps,map,miss_rate
0000,0.1035,90.77,11.0,0.68,49.74
0001,0.1019,82.25,12.2,0.73,11.01
0002,0.0781,80.0,12.5,0.76,15.38
0003,0.1112,96.44,10.4,0.85,0.0
0004,0.1459,104.13,9.6,0.78,7.0
0006,0.0454,83.91,11.9,0.87,5.66
0007,0.0787,82.35,12.1,0.76,7.06
0009,0.0921,80.37,12.4,0.71,15.87
0010,0.0786,85.06,11.8,0.86,0.0
0011,0.0995,77.97,12.8,0.83,7.63
0013,0.0418,82.6,12.1,0.68,8.25
0015,0.3366,75.52,13.2,0.78,5.59
0016,0.1198,76.7,13.0,0.75,11.11
0017,0.4507,79.55,12.6,0.74,1.5
0018,0.345,78.83,12.7,0.85,1.25
0019,0.3957,76.92,13.0,0.71,9.26
0020,0.2353,83.38,12.0,0.83,4.63
