frame,obj_id,dist_gt,dist_pred,error_pct,iou
0,1,5.776,6.164,6.71,0.5
55,1,7.853,7.956,1.3,0.51
56,1,7.868,7.992,1.57,0.52
57,1,7.883,7.917,0.44,0.57
58,1,7.898,7.892,0.07,0.54
59,1,7.899,7.959,0.76,0.5
117,37,13.063,11.111,14.94,0.69
118,37,13.132,11.025,16.05,0.68
120,49,28.127,23.399,16.81,0.85
120,37,13.264,10.997,17.09,0.73
121,49,27.573,23.014,16.53,0.79
122,49,27.018,22.733,15.86,0.78
122,37,13.389,11.077,17.27,0.74
123,49,26.464,22.415,15.3,0.8
123,37,19.585,11.563,40.96,0.6
124,49,25.909,22.187,14.37,0.89
124,37,13.515,11.708,13.37,0.73
125,49,25.355,22.023,13.14,0.83
125,37,18.493,12.173,34.17,0.57
126,37,17.946,12.757,28.92,0.68
127,39,13.343,11.111,16.73,0.89
127,37,17.4,13.222,24.01,0.71
128,39,12.816,11.025,13.98,0.91
128,37,16.81,13.542,19.44,0.79
129,39,12.288,10.878,11.48,0.91
129,37,16.22,13.701,15.53,0.8
130,39,11.664,10.592,9.19,0.9
130,37,15.63,13.648,12.68,0.8
131,39,11.041,10.265,7.02,0.88
131,37,15.04,13.362,11.16,0.86
131,49,13.546,12.945,4.43,0.53
132,39,10.417,9.835,5.59,0.87
132,37,14.45,13.005,10.0,0.85
132,49,13.558,11.155,17.72,0.67
133,39,9.815,9.397,4.26,0.86
133,37,13.809,12.611,8.68,0.85
133,49,13.571,11.951,11.93,0.5
134,37,13.169,12.201,7.35,0.84
134,49,13.583,13.636,0.39,0.59
135,37,12.548,11.886,5.28,0.84
135,49,13.562,13.233,2.42,0.62
135,58,19.297,16.276,15.65,0.82
136,37,11.927,11.635,2.44,0.82
136,49,13.54,12.992,4.05,0.63
136,58,18.681,16.37,12.37,0.87
137,37,11.306,11.341,0.31,0.83
137,49,13.536,12.747,5.82,0.74
137,58,18.066,16.509,8.62,0.9
138,37,10.646,10.915,2.52,0.84
138,49,13.531,12.611,6.8,0.71
138,58,17.458,16.507,5.45,0.89
139,37,9.987,10.398,4.12,0.82
139,49,13.526,12.477,7.75,0.69
139,58,16.851,16.388,2.75,0.9
139,53,21.796,18.102,16.95,0.51
140,37,9.328,9.761,4.65,0.83
140,49,13.519,12.312,8.93,0.68
140,58,16.243,15.895,2.14,0.95
140,53,21.177,17.432,17.68,0.52
141,37,8.668,9.131,5.34,0.8
141,49,13.512,12.195,9.75,0.64
141,58,15.565,15.387,1.14,0.92
142,37,8.009,8.484,5.94,0.79
142,49,13.505,12.177,9.83,0.62
142,58,14.887,14.932,0.3,0.9
142,53,19.937,20.32,1.92,0.52
143,49,13.499,12.232,9.38,0.61
143,58,14.209,14.378,1.19,0.9
143,53,19.317,19.467,0.78,0.54
144,49,13.492,12.272,9.04,0.58
144,58,13.531,13.779,1.83,0.88
145,49,13.481,12.302,8.75,0.59
145,58,12.853,13.172,2.48,0.88
145,53,17.986,18.414,2.38,0.51
146,49,13.471,12.393,8.0,0.63
146,58,12.164,12.58,3.42,0.89
146,53,17.321,17.641,1.85,0.51
147,49,13.46,12.46,7.43,0.68
147,58,11.474,12.113,5.57,0.86
147,53,16.656,17.117,2.77,0.52
148,49,13.45,12.51,6.99,0.66
148,58,10.784,11.668,8.2,0.84
148,53,15.991,16.881,5.57,0.51
149,49,13.439,12.511,6.91,0.67
149,58,10.072,11.078,9.99,0.83
149,53,15.281,16.342,6.94,0.53
150,49,13.412,12.476,6.98,0.7
150,53,14.571,15.574,6.88,0.56
151,49,13.385,12.521,6.45,0.66
151,53,13.862,14.417,4.01,0.6
152,49,13.357,12.519,6.28,0.7
152,53,13.149,13.55,3.05,0.62
153,49,13.33,12.589,5.56,0.64
153,53,12.437,12.829,3.15,0.62
