frame,obj_id,dist_gt,dist_pred,error_pct,iou
66,10,33.477,35.918,7.29,0.86
67,10,32.468,33.874,4.33,0.9
68,10,31.461,33.874,7.67,0.83
69,10,30.454,33.874,11.23,0.88
70,10,29.557,33.243,12.47,0.89
72,10,27.755,30.241,8.96,0.92
73,10,26.851,28.423,5.85,0.89
93,16,39.689,43.857,10.5,0.7
94,16,38.64,42.806,10.78,0.69
95,16,37.478,41.48,10.68,0.69
96,16,36.317,41.056,13.05,0.65
97,16,35.155,40.0,13.78,0.65
98,16,33.993,37.974,11.71,0.7
99,16,32.832,35.844,9.17,0.67
106,23,38.577,39.492,2.37,0.71
106,24,36.033,40.847,13.36,0.66
107,23,38.624,39.492,2.25,0.73
108,23,38.671,40.385,4.43,0.75
109,23,38.718,40.692,5.1,0.79
110,29,33.099,37.035,11.89,0.52
112,23,39.262,36.613,6.75,0.69
113,23,30.731,34.078,10.89,0.71
114,23,29.932,32.111,7.28,0.73
115,23,29.11,30.958,6.35,0.75
115,14,29.11,31.21,7.21,0.62
115,29,40.007,39.492,1.29,0.8
116,14,28.288,30.674,8.43,0.76
116,29,40.389,40.385,0.01,0.82
117,14,27.466,29.013,5.63,0.81
117,29,40.77,41.641,2.14,0.79
118,14,26.567,27.617,3.95,0.75
123,34,31.938,35.918,12.46,0.83
124,34,31.466,34.529,9.74,0.86
125,34,30.993,34.09,9.99,0.85
126,34,30.52,33.312,9.15,0.86
127,34,30.048,32.46,8.03,0.87
128,34,29.575,32.186,8.83,0.83
129,34,29.031,31.529,8.6,0.82
130,34,28.488,30.254,6.2,0.82
131,34,27.944,29.852,6.83,0.75
133,34,26.857,27.866,3.75,0.82
134,34,26.219,27.261,3.98,0.78
135,34,25.58,26.661,4.23,0.78
136,34,24.941,26.08,4.57,0.76
137,34,24.303,24.813,2.1,0.81
