frame,obj_id,dist_gt,dist_pred,error_pct,iou
0,3,23.791,28.248,18.73,0.61
21,11,18.212,17.218,5.46,0.88
22,11,17.275,16.578,4.03,0.84
23,11,16.338,15.388,5.81,0.84
24,11,15.183,14.192,6.53,0.86
25,11,14.029,13.027,7.15,0.83
26,11,12.803,12.079,5.66,0.8
27,14,21.685,19.157,11.66,0.87
28,14,20.678,18.369,11.17,0.88
29,14,19.671,17.585,10.6,0.89
30,14,18.45,16.69,9.54,0.91
30,15,30.192,25.252,16.36,0.88
31,14,17.072,15.691,8.09,0.89
36,1,25.059,22.401,10.61,0.84
37,1,25.604,22.686,11.4,0.8
38,1,26.149,23.077,11.75,0.88
39,1,26.617,23.21,12.8,0.86
40,1,27.085,23.255,14.14,0.91
41,1,27.543,23.577,14.4,0.85
43,1,28.372,23.686,16.52,0.86
44,1,28.742,23.412,18.54,0.84
45,1,29.112,23.947,17.74,0.87
46,1,29.472,24.462,17.0,0.83
47,1,29.831,24.638,17.41,0.85
48,1,30.191,25.044,17.05,0.85
49,1,30.533,25.913,15.13,0.8
50,1,30.876,26.217,15.09,0.79
51,1,31.218,25.937,16.92,0.81
52,1,31.605,25.845,18.23,0.82
53,1,31.993,26.985,15.65,0.77
54,1,32.357,28.254,12.68,0.74
56,1,33.085,27.384,17.23,0.79
57,1,33.448,26.307,21.35,0.84
58,1,33.812,25.594,24.3,0.81
59,1,34.181,26.107,23.62,0.83
60,1,34.55,26.675,22.79,0.83
61,1,34.919,28.14,19.41,0.79
62,1,35.288,29.615,16.08,0.76
63,1,35.657,30.142,15.47,0.78
68,1,37.555,35.088,6.57,0.73
69,1,37.943,40.484,6.7,0.73
70,1,38.328,41.676,8.73,0.69
72,1,39.095,35.412,9.42,0.76
79,1,41.748,35.748,14.37,0.72
82,1,42.786,42.725,0.14,0.71
104,35,47.743,43.857,8.14,0.78
118,42,48.505,45.534,6.13,0.56
191,54,17.682,15.235,13.84,0.9
201,57,12.904,13.982,8.36,0.71
202,57,11.504,13.355,16.09,0.67
203,57,10.104,12.008,18.84,0.67
204,57,8.695,10.46,20.31,0.73
218,80,45.876,42.299,7.8,0.69
220,80,45.832,45.534,0.65,0.71
221,80,45.81,47.981,4.74,0.82
224,80,45.736,41.004,10.35,0.82
235,80,45.483,46.188,1.55,0.67
238,80,45.411,43.52,4.16,0.67
239,80,45.329,43.744,3.5,0.74
240,80,45.246,43.819,3.15,0.76
252,80,44.014,40.836,7.22,0.76
253,80,43.872,39.057,10.97,0.72
254,80,43.731,38.498,11.97,0.72
255,80,43.589,38.315,12.1,0.76
259,80,43.024,42.843,0.42,0.79
260,80,42.88,44.601,4.01,0.78
268,80,41.725,45.219,8.37,0.78
269,80,41.597,42.207,1.47,0.8
281,80,40.397,42.268,4.63,0.75
285,80,40.299,44.391,10.15,0.74
286,80,40.274,42.974,6.7,0.79
