frame,obj_id,dist_gt,dist_pred,error_pct,iou
0,1,20.433,19.157,6.24,0.93
1,1,20.51,19.157,6.6,0.93
2,1,20.587,19.157,6.95,0.85
3,1,20.664,19.157,7.29,0.81
4,1,20.74,18.56,10.51,0.86
5,1,20.807,18.275,12.17,0.85
6,1,20.874,18.275,12.45,0.86
7,1,20.941,18.275,12.73,0.84
8,1,21.008,17.999,14.33,0.86
9,1,21.075,17.999,14.6,0.86
10,1,21.141,17.999,14.87,0.86
11,1,21.192,17.999,15.07,0.86
12,1,21.243,18.275,13.97,0.87
13,1,21.294,18.275,14.18,0.86
14,1,21.344,18.56,13.05,0.86
15,1,21.395,19.157,10.46,0.86
16,1,21.433,19.47,9.16,0.85
17,1,21.472,19.47,9.32,0.9
18,1,21.51,19.794,7.98,0.88
19,1,21.548,20.129,6.59,0.86
20,1,21.586,20.129,6.75,0.84
21,1,21.622,20.129,6.9,0.88
22,1,21.658,19.794,8.6,0.9
23,1,21.693,19.794,8.76,0.88
24,1,21.729,19.794,8.91,0.87
25,1,21.772,19.794,9.08,0.88
26,1,21.814,19.794,9.26,0.88
27,1,21.856,20.129,7.9,0.86
28,1,21.899,20.129,8.08,0.86
29,1,21.946,20.475,6.7,0.83
30,1,21.993,20.833,5.27,0.8
31,1,22.04,21.204,3.79,0.78
32,1,22.105,21.204,4.07,0.79
33,1,22.17,21.204,4.35,0.75
34,1,22.235,21.204,4.64,0.79
35,1,22.301,21.204,4.92,0.81
36,1,22.372,21.204,5.22,0.8
37,1,22.443,21.204,5.52,0.81
38,1,22.514,21.589,4.11,0.79
39,1,22.603,21.589,4.48,0.79
40,1,22.691,21.589,4.86,0.79
41,1,22.779,21.589,5.23,0.78
42,1,22.867,21.589,5.59,0.79
43,1,22.956,21.589,5.95,0.79
44,1,23.047,21.589,6.33,0.81
45,1,23.137,21.589,6.69,0.81
46,1,23.228,21.204,8.71,0.83
47,1,23.325,21.204,9.09,0.84
48,1,23.404,21.204,9.4,0.88
49,1,23.488,21.589,8.08,0.85
50,1,23.571,21.589,8.41,0.83
51,1,23.655,21.589,8.74,0.8
52,1,23.724,21.589,9.0,0.86
53,1,23.793,21.589,9.26,0.88
54,1,23.862,21.589,9.53,0.91
56,1,23.986,22.401,6.61,0.89
58,1,24.105,22.401,7.07,0.82
59,1,24.169,21.988,9.03,0.77
60,1,24.233,21.204,12.5,0.75
61,1,24.298,21.204,12.73,0.83
62,1,24.365,21.988,9.76,0.9
63,1,24.434,23.741,2.84,0.92
64,1,24.503,24.728,0.92,0.92
65,1,24.561,24.728,0.68,0.81
66,1,24.619,23.741,3.57,0.72
68,1,24.739,23.741,4.03,0.81
69,1,24.811,23.741,4.31,0.84
70,1,24.883,24.224,2.65,0.84
71,1,24.948,24.224,2.9,0.84
72,1,25.013,24.224,3.15,0.83
72,10,60.523,62.182,2.74,0.82
74,10,53.666,53.759,0.17,0.71
75,10,50.237,49.306,1.85,0.73
76,10,46.744,49.306,5.48,0.64
77,10,43.25,43.857,1.4,0.68
78,10,39.813,37.035,6.98,0.59
78,1,25.384,23.741,6.47,0.74
79,10,36.377,30.413,16.4,0.54
79,1,25.444,22.831,10.27,0.69
80,10,32.919,26.371,19.89,0.66
81,10,29.461,24.224,17.77,0.68
81,1,25.566,22.401,12.38,0.75
82,1,25.604,22.401,12.51,0.81
83,1,25.642,22.401,12.64,0.83
84,1,25.679,22.401,12.77,0.86
85,1,25.697,22.401,12.83,0.77
86,1,25.714,22.831,11.21,0.82
87,1,25.73,23.277,9.53,0.85
88,1,25.747,23.277,9.59,0.84
89,1,25.763,23.277,9.65,0.86
90,1,25.78,23.277,9.71,0.87
91,1,25.785,23.277,9.73,0.87
92,1,25.79,23.741,7.95,0.85
93,1,25.796,23.741,7.96,0.87
94,1,25.759,23.741,7.83,0.89
95,1,25.723,23.741,7.7,0.91
96,1,25.687,23.741,7.57,0.92
97,1,25.651,23.741,7.44,0.92
98,1,25.604,23.741,7.27,0.89
101,1,25.437,23.741,6.67,0.83
102,1,25.363,23.277,8.22,0.85
103,1,25.29,23.277,7.96,0.86
104,1,25.217,23.741,5.85,0.89
106,1,25.068,23.741,5.29,0.91
107,1,24.992,23.741,5.0,0.89
108,1,24.916,23.741,4.72,0.86
109,1,24.84,23.741,4.42,0.85
110,1,24.765,23.741,4.13,0.81
111,1,24.693,23.741,3.86,0.8
112,1,24.622,23.741,3.58,0.77
113,1,24.551,23.277,5.19,0.76
114,1,24.48,23.277,4.91,0.75
115,1,24.399,23.277,4.6,0.8
116,1,24.317,23.277,4.28,0.81
117,1,24.307,23.277,4.24,0.83
118,1,24.237,23.277,3.96,0.81
119,1,24.167,22.831,5.53,0.79
120,1,24.097,22.401,7.04,0.76
121,1,24.033,22.401,6.79,0.75
122,1,23.969,22.831,4.75,0.75
123,1,23.905,23.741,0.68,0.69
124,1,23.84,24.224,1.61,0.67
125,1,23.776,24.224,1.89,0.68
126,1,23.712,23.741,0.12,0.71
127,1,23.648,23.277,1.57,0.77
128,1,23.584,22.831,3.19,0.79
129,1,23.511,22.831,2.89,0.81
130,1,23.439,22.831,2.59,0.8
131,1,23.366,22.831,2.29,0.8
132,1,23.294,22.831,1.99,0.81
133,1,23.222,22.401,3.53,0.82
134,1,23.161,22.401,3.28,0.81
135,1,23.101,21.988,4.82,0.78
136,1,23.041,21.589,6.3,0.78
137,1,22.981,21.589,6.06,0.8
138,1,22.92,21.589,5.81,0.82
139,1,22.86,21.589,5.56,0.82
140,1,22.8,21.589,5.31,0.83
141,1,22.739,21.988,3.31,0.83
143,1,22.63,21.988,2.84,0.76
144,1,22.576,21.988,2.61,0.74
145,1,22.522,21.988,2.37,0.71
146,1,22.468,21.589,3.91,0.75
147,1,22.417,21.589,3.69,0.74
148,1,22.365,21.589,3.47,0.75
149,1,22.314,21.589,3.25,0.73
150,1,22.263,21.204,4.75,0.74
151,1,22.211,20.833,6.2,0.73
152,1,22.161,21.204,4.32,0.73
153,1,22.11,21.204,4.1,0.73
154,1,22.06,21.204,3.88,0.74
155,1,22.009,20.833,5.34,0.78
155,27,26.415,25.252,4.4,0.87
156,1,21.959,20.833,5.13,0.78
156,27,24.988,24.224,3.06,0.84
157,1,21.908,20.833,4.91,0.79
157,27,23.561,22.831,3.1,0.82
158,1,21.858,20.833,4.69,0.78
158,27,22.133,21.204,4.2,0.8
159,1,21.815,21.204,2.8,0.77
159,27,20.727,20.129,2.88,0.76
160,1,21.772,21.204,2.61,0.77
161,1,21.73,21.204,2.42,0.75
162,1,21.687,20.833,3.94,0.75
163,1,21.633,20.833,3.7,0.74
164,1,21.578,20.833,3.45,0.71
165,1,21.524,20.833,3.21,0.71
166,1,21.47,20.129,6.25,0.73
167,1,21.395,19.794,7.48,0.78
168,1,21.321,19.794,7.16,0.8
169,1,21.247,19.794,6.84,0.81
170,1,21.172,19.47,8.04,0.83
171,1,21.098,19.47,7.71,0.8
172,1,21.024,19.157,8.88,0.8
173,1,20.949,19.157,8.55,0.79
174,1,20.875,18.854,9.68,0.78
175,1,20.774,18.56,10.66,0.82
176,1,20.673,18.56,10.22,0.86
177,1,20.572,18.56,9.78,0.87
178,1,20.471,18.275,10.73,0.88
179,1,20.384,18.275,10.34,0.89
180,1,20.296,18.275,9.96,0.92
181,1,20.209,18.275,9.57,0.94
182,1,20.132,18.275,9.22,0.93
183,1,20.055,18.275,8.88,0.88
184,1,19.979,18.56,7.1,0.85
185,1,19.896,18.854,5.24,0.89
186,1,19.813,19.157,3.31,0.93
187,1,19.773,19.47,1.53,0.91
188,1,19.733,19.794,0.31,0.9
189,1,19.694,19.794,0.51,0.9
190,1,19.654,19.794,0.71,0.88
191,1,19.631,19.794,0.83,0.87
192,1,19.609,19.47,0.71,0.87
193,1,19.587,19.157,2.19,0.86
194,1,19.582,18.854,3.72,0.89
195,1,19.578,18.56,5.2,0.9
196,1,19.574,18.56,5.18,0.89
197,1,19.57,18.275,6.62,0.9
198,1,19.584,18.275,6.68,0.9
199,1,19.598,18.275,6.75,0.89
200,1,19.612,18.275,6.82,0.89
201,1,19.626,18.275,6.89,0.89
202,1,19.653,18.275,7.01,0.89
203,1,19.679,18.275,7.14,0.89
204,1,19.706,17.999,8.66,0.91
205,1,19.732,17.999,8.78,0.93
206,1,19.758,17.999,8.91,0.92
207,1,19.785,17.999,9.03,0.92
208,1,19.811,17.999,9.15,0.93
209,1,19.864,17.999,9.39,0.98
210,1,19.918,17.999,9.63,0.97
211,1,19.971,17.999,9.88,0.94
212,1,20.027,18.275,8.75,0.91
213,1,20.082,18.275,9.0,0.89
214,1,20.138,18.56,7.84,0.86
215,1,20.21,18.56,8.17,0.91
216,1,20.282,18.56,8.49,0.91
217,1,20.355,18.56,8.82,0.92
