frame,obj_id,dist_gt,dist_pred,error_pct,iou
0,4,15.254,14.177,7.06,0.92
1,4,15.053,14.166,5.89,0.9
2,4,14.852,14.012,5.66,0.9
3,4,14.651,13.8,5.81,0.88
4,4,14.45,13.559,6.17,0.89
5,4,14.25,13.324,6.49,0.87
6,4,14.049,13.03,7.25,0.86
7,4,13.848,12.847,7.23,0.89
8,4,13.647,12.728,6.73,0.89
9,4,13.446,12.694,5.59,0.91
10,4,13.245,12.701,4.11,0.89
11,4,13.139,12.831,2.34,0.86
12,4,13.032,12.729,2.33,0.87
13,4,12.926,12.533,3.04,0.87
14,4,12.82,12.244,4.49,0.89
15,4,12.713,12.008,5.54,0.91
16,4,12.607,11.795,6.44,0.9
17,4,12.5,11.562,7.51,0.91
18,4,12.394,11.387,8.13,0.91
19,4,12.288,11.219,8.7,0.91
20,4,12.181,11.109,8.81,0.91
21,4,12.198,10.984,9.95,0.91
22,4,12.215,10.925,10.56,0.91
23,4,12.232,10.891,10.96,0.9
24,4,12.249,10.895,11.05,0.89
25,4,12.265,10.934,10.85,0.88
26,4,12.383,10.967,11.43,0.9
27,4,12.5,10.979,12.17,0.91
28,4,12.617,11.003,12.79,0.92
29,4,12.734,11.15,12.44,0.91
30,4,12.851,11.286,12.18,0.9
31,4,13.068,11.329,13.31,0.92
32,4,13.285,11.27,15.17,0.91
33,4,13.502,11.269,16.54,0.9
34,4,13.719,11.35,17.27,0.89
35,4,13.937,11.554,17.1,0.91
36,4,14.236,11.782,17.23,0.91
37,4,14.535,11.966,17.67,0.91
38,4,14.833,12.038,18.84,0.91
39,4,15.132,12.269,18.92,0.9
40,4,15.431,12.673,17.87,0.87
41,4,15.778,12.865,18.46,0.88
42,4,16.124,12.989,19.44,0.89
43,4,16.471,13.209,19.81,0.87
44,4,16.817,13.359,20.57,0.87
45,4,17.164,13.543,21.09,0.87
46,4,17.512,13.847,20.93,0.85
47,4,17.86,14.105,21.03,0.86
48,4,18.208,14.39,20.97,0.86
49,4,18.556,14.606,21.29,0.89
50,4,18.904,14.975,20.79,0.89
51,4,19.21,15.309,20.31,0.87
52,4,19.517,15.471,20.73,0.86
53,4,19.823,15.739,20.61,0.84
54,4,20.13,16.108,19.98,0.85
55,4,20.436,16.508,19.22,0.88
56,4,20.732,16.993,18.03,0.84
57,4,21.027,17.411,17.2,0.82
58,4,21.323,17.683,17.07,0.82
59,4,21.618,17.875,17.31,0.84
60,4,21.913,17.973,17.98,0.87
61,4,22.162,18.307,17.4,0.88
62,4,22.41,19.07,14.91,0.88
63,4,22.659,20.02,11.65,0.91
64,4,22.907,20.879,8.85,0.9
65,4,23.155,21.332,7.87,0.9
66,4,23.403,21.542,7.95,0.91
67,4,23.65,21.733,8.11,0.89
68,4,23.898,23.407,2.05,0.84
69,4,24.145,24.492,1.44,0.79
70,4,24.393,24.863,1.93,0.77
71,4,24.632,24.127,2.05,0.78
72,4,24.871,23.478,5.6,0.77
73,4,25.111,22.699,9.6,0.77
74,4,25.352,22.412,11.6,0.88
75,4,25.593,22.585,11.75,0.92
76,4,25.813,23.186,10.18,0.89
77,4,26.033,24.474,5.99,0.85
78,4,26.252,24.805,5.51,0.82
79,4,26.471,24.46,7.6,0.83
80,4,26.691,24.093,9.73,0.82
81,4,26.911,23.904,11.17,0.91
82,4,27.131,24.705,8.94,0.87
83,4,27.352,26.276,3.93,0.89
84,4,27.571,27.341,0.84,0.83
85,4,27.791,27.741,0.18,0.85
86,4,28.01,27.198,2.9,0.9
87,4,28.229,27.13,3.89,0.9
88,4,28.448,27.45,3.51,0.86
89,4,28.668,27.957,2.48,0.83
90,4,28.887,27.988,3.11,0.86
92,4,29.165,27.399,6.06,0.86
98,4,29.845,27.027,9.44,0.82
99,4,29.863,26.171,12.36,0.8
100,4,29.934,25.457,14.96,0.84
101,4,30.005,25.701,14.34,0.81
102,4,30.076,26.24,12.75,0.79
102,40,29.224,24.341,16.71,0.85
103,4,30.147,26.808,11.07,0.78
103,40,28.151,23.987,14.79,0.86
104,4,30.217,27.479,9.06,0.79
105,4,30.288,28.312,6.52,0.75
106,4,30.297,28.741,5.13,0.76
107,4,30.306,29.489,2.69,0.7
108,4,30.314,29.605,2.34,0.66
109,4,30.323,29.774,1.81,0.64
109,43,28.598,25.062,12.36,0.52
110,4,30.332,29.203,3.72,0.68
111,4,30.273,28.864,4.65,0.7
112,4,30.214,28.747,4.86,0.66
112,43,25.373,22.893,9.78,0.55
113,4,30.156,28.641,5.02,0.66
113,43,24.298,21.779,10.37,0.54
114,4,30.097,28.831,4.21,0.65
114,43,26.837,20.524,23.52,0.52
115,43,25.74,19.42,24.55,0.54
116,43,24.643,18.545,24.74,0.56
116,4,29.981,28.273,5.69,0.75
117,4,29.922,28.563,4.54,0.79
118,4,29.864,28.937,3.1,0.82
119,4,29.805,29.321,1.63,0.82
120,4,29.747,29.63,0.39,0.81
121,4,29.667,29.663,0.01,0.84
122,4,29.588,29.21,1.28,0.8
123,4,29.508,29.276,0.79,0.83
124,4,29.428,29.252,0.6,0.86
125,4,29.349,29.498,0.51,0.86
126,4,29.269,29.554,0.97,0.86
127,4,29.19,29.352,0.56,0.88
128,4,29.11,29.319,0.72,0.88
129,4,29.029,29.46,1.48,0.86
