frame,obj_id,dist_gt,dist_pred,error_pct,iou
100,134,23.91,22.888,4.27,0.62
101,134,23.576,22.888,2.92,0.63
103,134,22.927,22.888,0.17,0.64
106,134,21.961,22.888,4.22,0.77
108,134,21.39,22.888,7.0,0.86
109,134,21.118,21.485,1.74,0.76
110,134,20.846,21.485,3.06,0.8
112,134,20.334,21.485,5.66,0.78
113,134,20.069,21.22,5.73,0.82
114,134,19.867,21.371,7.57,0.76
115,134,19.631,21.371,8.86,0.74
116,134,19.395,21.22,9.41,0.7
117,134,19.159,20.637,7.71,0.75
118,134,18.922,19.98,5.59,0.85
119,134,18.697,19.98,6.86,0.8
123,163,17.848,18.081,1.31,0.54
124,163,17.635,18.081,2.53,0.62
125,163,17.421,18.081,3.79,0.61
126,163,17.208,17.889,3.96,0.71
127,163,16.91,17.769,5.08,0.63
128,163,16.743,17.746,5.99,0.56
129,163,16.576,17.641,6.42,0.55
130,163,16.444,17.641,7.28,0.53
131,163,16.311,17.315,6.16,0.7
132,163,16.178,17.236,6.54,0.73
133,163,15.993,16.868,5.47,0.61
134,163,15.808,16.625,5.17,0.76
135,163,15.623,16.427,5.15,0.71
136,163,15.438,15.616,1.16,0.68
137,163,15.255,15.38,0.82,0.59
142,176,14.604,14.71,0.73,0.54
237,222,21.523,20.55,4.52,0.85
238,222,20.851,20.55,1.44,0.95
239,222,20.178,20.55,1.84,0.8
240,222,19.469,19.897,2.2,0.83
241,222,18.759,19.835,5.73,0.72
242,222,18.051,18.656,3.35,0.89
243,222,17.343,18.621,7.37,0.81
244,222,16.636,18.443,10.86,0.75
246,234,23.351,22.085,5.42,0.79
247,238,20.582,20.211,1.8,0.71
248,238,20.144,20.211,0.33,0.65
248,234,21.952,22.085,0.6,0.87
249,228,21.399,20.893,2.36,0.86
253,228,18.611,20.893,12.26,0.82
254,228,17.954,20.893,16.37,0.74
258,228,15.014,15.144,0.87,0.65
259,228,14.304,14.547,1.7,0.56
283,284,17.796,16.501,7.28,0.6
284,284,17.087,16.501,3.43,0.56
285,284,16.366,16.501,0.82,0.71
286,284,15.645,16.062,2.66,0.86
287,284,14.912,15.676,5.12,0.8
288,284,14.179,14.965,5.54,0.75
289,284,13.445,14.068,4.63,0.69
290,284,12.712,13.557,6.65,0.75
291,284,11.978,13.131,9.62,0.67
292,284,11.245,12.664,12.62,0.66
293,284,10.512,12.184,15.91,0.58
294,284,9.778,11.422,16.81,0.66
295,284,9.042,10.72,18.56,0.62
298,304,26.876,28.967,7.78,0.77
302,304,24.503,28.967,18.22,0.77
315,328,16.932,19.169,13.21,0.78
316,328,16.373,19.169,17.08,0.59
317,328,15.812,19.169,21.23,0.78
318,328,15.251,19.169,25.69,0.76
319,328,14.689,17.776,21.01,0.72
320,328,14.128,16.357,15.78,0.81
321,328,13.603,15.309,12.54,0.84
322,328,13.078,14.696,12.38,0.78
323,328,12.557,13.991,11.42,0.77
324,328,12.037,13.645,13.36,0.76
325,328,11.509,13.172,14.44,0.84
326,328,10.982,12.467,13.53,0.88
327,328,10.454,11.898,13.81,0.93
327,337,17.178,13.613,20.75,0.53
328,328,9.929,11.276,13.57,0.78
329,328,9.392,10.551,12.34,0.87
330,328,8.856,10.017,13.11,0.84
332,340,13.771,14.069,2.17,0.67
333,340,13.085,14.069,7.52,0.65
334,340,12.4,14.069,13.47,0.73
