frame,obj_id,dist_gt,dist_pred,error_pct,iou
26,6,43.525,59.848,37.5,0.78
27,6,42.373,52.646,24.24,0.63
28,6,41.221,52.123,26.45,0.79
29,6,40.118,51.951,29.5,0.83
31,6,37.912,48.989,29.22,0.87
33,6,35.767,49.433,38.21,0.81
34,6,34.694,46.924,35.25,0.81
35,6,33.622,44.957,33.72,0.83
36,6,32.549,43.242,32.85,0.88
37,6,31.502,42.7,35.55,0.89
38,6,30.455,39.633,30.13,0.89
39,6,29.408,37.868,28.77,0.92
40,6,28.361,35.788,26.19,0.93
41,6,27.314,33.148,21.36,0.88
42,6,26.352,30.652,16.32,0.83
56,12,21.499,27.454,27.7,0.69
60,15,18.93,24.058,27.09,0.84
61,15,18.288,23.414,28.03,0.84
62,15,17.646,23.207,31.51,0.68
63,15,17.121,22.542,31.67,0.68
64,15,16.596,21.245,28.01,0.79
65,15,16.071,19.897,23.81,0.85
66,15,15.546,19.27,23.96,0.73
67,15,15.093,18.663,23.65,0.79
68,15,14.64,18.277,24.84,0.63
69,15,14.187,17.428,22.84,0.65
70,15,13.734,16.672,21.39,0.62
71,15,13.281,16.281,22.59,0.72
72,15,12.828,15.862,23.65,0.65
73,15,12.477,15.051,20.63,0.63
74,15,12.125,14.433,19.03,0.71
75,15,11.774,14.01,18.99,0.81
75,26,10.681,10.655,0.25,0.84
76,15,11.422,13.765,20.51,0.79
76,26,9.582,10.16,6.03,0.79
77,15,11.159,13.372,19.82,0.83
77,26,9.301,9.892,6.35,0.79
78,26,9.021,9.697,7.5,0.8
79,26,8.895,9.426,5.97,0.78
80,26,8.77,9.241,5.36,0.72
81,26,8.645,9.229,6.75,0.77
82,26,8.52,9.225,8.27,0.85
83,26,9.052,9.473,4.65,0.9
84,26,8.27,9.405,13.72,0.86
85,26,8.145,9.137,12.19,0.78
86,26,8.884,9.146,2.95,0.82
87,26,8.078,8.916,10.37,0.92
88,26,8.045,8.887,10.46,0.9
89,26,8.012,8.922,11.36,0.94
90,26,7.979,8.98,12.55,0.78
91,26,8.603,8.818,2.5,0.89
92,26,7.912,8.593,8.61,0.9
93,26,8.594,8.562,0.36,0.87
94,26,8.589,8.766,2.07,0.82
95,26,7.901,8.927,12.98,0.78
96,26,7.897,8.845,12.0,0.91
