frame,obj_id,dist_gt,dist_pred,error_pct,iou
0,1,12.154,11.853,2.48,0.91
0,7,23.429,24.916,6.34,0.74
0,8,40.875,58.368,42.79,0.74
1,1,12.113,11.836,2.29,0.87
1,7,23.418,25.507,8.92,0.8
1,8,41.16,58.8,42.86,0.74
2,1,12.073,11.808,2.19,0.83
2,7,23.406,25.668,9.66,0.79
3,1,12.032,11.78,2.1,0.81
3,7,23.394,25.703,9.87,0.82
3,8,41.728,58.992,41.37,0.73
4,1,11.991,11.746,2.04,0.8
4,7,23.377,25.663,9.78,0.83
4,8,42.012,58.821,40.01,0.72
5,1,11.95,11.751,1.67,0.79
5,7,23.359,25.636,9.75,0.8
5,8,42.297,58.228,37.67,0.72
6,1,11.954,11.735,1.83,0.8
6,7,23.366,25.383,8.63,0.79
6,8,42.581,57.582,35.23,0.72
7,1,11.957,11.699,2.16,0.81
7,7,23.373,25.297,8.23,0.79
7,8,42.865,56.904,32.75,0.7
8,1,11.96,11.703,2.15,0.82
8,7,23.381,25.368,8.5,0.79
8,8,43.149,56.47,30.87,0.7
9,1,11.963,11.705,2.16,0.82
9,7,23.388,25.452,8.82,0.8
10,1,11.966,11.708,2.16,0.82
10,7,23.396,25.571,9.3,0.81
11,1,12.005,11.715,2.41,0.83
11,7,23.449,25.765,9.88,0.82
12,1,12.043,11.74,2.52,0.84
12,7,23.502,25.992,10.6,0.83
13,1,12.082,11.76,2.66,0.85
13,7,23.555,26.144,10.99,0.84
13,8,44.571,57.876,29.85,0.69
14,1,12.121,11.773,2.86,0.86
14,7,23.608,26.295,11.38,0.85
15,1,12.159,11.812,2.86,0.86
15,7,23.661,26.392,11.54,0.86
16,1,12.221,11.842,3.1,0.87
16,7,23.761,26.512,11.58,0.87
17,1,12.283,11.88,3.28,0.89
17,7,23.861,26.531,11.19,0.88
18,1,12.345,11.917,3.46,0.9
18,7,23.961,26.525,10.7,0.86
19,1,12.407,11.965,3.56,0.9
19,7,24.06,26.527,10.25,0.86
20,1,12.468,12.003,3.73,0.91
20,7,24.16,26.637,10.25,0.86
21,1,12.542,12.048,3.94,0.92
21,7,24.306,26.662,9.69,0.84
22,1,12.616,12.114,3.98,0.92
22,7,24.451,26.824,9.7,0.83
23,1,12.69,12.183,4.0,0.92
23,7,24.597,26.898,9.36,0.83
24,1,12.764,12.255,3.99,0.91
24,7,24.742,27.197,9.92,0.83
25,1,12.838,12.345,3.84,0.91
25,7,24.888,27.694,11.28,0.85
26,1,12.968,12.428,4.17,0.91
26,7,25.117,28.108,11.91,0.85
27,1,13.099,12.518,4.43,0.92
27,7,25.345,28.596,12.83,0.85
28,1,13.229,12.637,4.48,0.92
28,7,25.574,29.094,13.76,0.85
29,1,13.36,12.784,4.31,0.91
29,7,25.803,29.834,15.62,0.85
30,1,13.49,12.928,4.17,0.91
30,7,26.032,30.276,16.3,0.85
31,1,13.631,13.077,4.07,0.91
31,7,26.295,30.735,16.89,0.84
32,1,13.772,13.245,3.83,0.88
32,7,26.557,31.33,17.97,0.83
33,1,13.913,13.454,3.3,0.89
33,7,26.855,31.894,18.76,0.86
34,1,14.054,13.645,2.91,0.89
34,7,27.152,32.188,18.55,0.86
35,1,14.194,13.788,2.86,0.88
35,7,27.45,32.389,17.99,0.87
36,1,14.352,13.937,2.89,0.89
36,7,27.767,32.505,17.07,0.87
37,1,14.509,14.06,3.1,0.89
37,7,28.083,32.643,16.24,0.87
38,1,14.666,14.141,3.58,0.88
38,7,28.4,32.907,15.87,0.87
39,1,14.824,14.233,3.98,0.87
39,7,28.717,32.923,14.65,0.86
40,1,14.981,14.318,4.42,0.85
40,7,29.034,32.852,13.15,0.85
41,1,15.08,14.395,4.54,0.89
41,7,29.369,32.82,11.75,0.86
42,1,15.179,14.434,4.9,0.91
42,7,29.705,32.764,10.3,0.86
43,1,15.277,14.485,5.19,0.92
43,7,30.04,32.657,8.71,0.87
44,1,15.376,14.505,5.66,0.93
44,7,30.376,32.55,7.16,0.87
45,1,15.475,14.549,5.98,0.92
45,7,30.711,32.347,5.33,0.88
46,1,15.535,14.59,6.09,0.93
46,7,31.011,32.161,3.71,0.86
47,1,15.595,14.638,6.14,0.91
47,7,31.31,32.018,2.26,0.84
48,1,15.656,14.683,6.21,0.93
48,7,31.609,31.931,1.02,0.83
49,1,15.716,14.728,6.29,0.95
49,7,31.908,31.88,0.09,0.82
50,1,15.777,14.774,6.35,0.93
50,7,32.208,32.146,0.19,0.81
51,1,15.8,14.816,6.23,0.92
51,7,32.467,32.498,0.1,0.81
52,1,15.824,14.847,6.17,0.95
52,7,32.726,32.819,0.28,0.81
53,1,15.847,14.861,6.22,0.94
53,7,32.985,33.091,0.32,0.81
54,1,15.871,14.859,6.37,0.93
54,7,33.243,33.44,0.59,0.82
55,1,15.894,14.859,6.51,0.93
55,7,33.502,33.82,0.95,0.82
56,1,15.91,14.864,6.58,0.93
56,7,33.697,34.12,1.25,0.82
57,1,15.926,14.868,6.64,0.94
57,7,33.892,34.492,1.77,0.83
58,1,15.941,14.869,6.73,0.94
58,7,34.086,34.51,1.24,0.83
59,1,15.957,14.839,7.01,0.93
59,7,34.281,34.621,0.99,0.83
60,1,15.973,14.846,7.05,0.92
60,7,34.475,34.803,0.95,0.83
61,1,15.943,14.858,6.8,0.91
