frame,cls_id,obj_id,dist_gt,dist_pred,error_pct,iou
22,2,3,17.275,16.276,5.78,0.85
23,2,3,16.338,16.276,0.38,0.87
24,2,3,15.183,16.0,5.38,0.87
25,2,3,14.029,15.504,10.52,0.83
26,2,3,12.803,14.896,16.35,0.78
27,2,20,21.685,19.794,8.72,0.86
28,2,20,20.678,19.794,4.27,0.88
29,2,20,19.671,19.534,0.7,0.87
30,2,20,18.45,19.166,3.88,0.89
31,2,20,17.072,18.582,8.84,0.88
32,2,23,36.885,30.413,17.55,0.86
33,2,23,36.163,30.544,15.54,0.75
34,2,23,35.2,30.643,12.95,0.84
34,2,21,26.407,23.741,10.09,0.5
35,2,23,34.213,30.717,10.22,0.77
36,2,4,25.059,22.401,10.61,0.83
36,2,23,33.093,30.699,7.23,0.8
37,2,4,25.604,22.472,12.23,0.8
38,2,4,26.149,22.526,13.86,0.85
39,2,4,26.617,22.663,14.85,0.79
40,2,4,27.085,22.837,15.68,0.91
41,2,4,27.543,23.006,16.47,0.79
42,2,4,28.002,23.206,17.13,0.87
43,2,4,28.372,23.355,17.68,0.87
44,2,4,28.742,23.457,18.39,0.84
45,2,4,29.112,23.533,19.16,0.86
46,2,4,29.472,23.748,19.42,0.81
47,2,4,29.831,23.965,19.67,0.81
48,2,4,30.191,24.146,20.02,0.83
49,2,4,30.533,24.375,20.17,0.8
50,2,4,30.876,24.668,20.1,0.82
51,2,4,31.218,24.888,20.27,0.86
52,2,4,31.605,24.962,21.02,0.86
53,2,4,31.993,25.018,21.8,0.79
54,2,4,32.357,25.448,21.35,0.72
55,2,4,32.722,26.24,19.81,0.76
56,2,4,33.085,26.834,18.89,0.79
57,2,4,33.448,27.051,19.13,0.82
58,2,4,33.812,26.89,20.47,0.83
59,2,4,34.181,26.572,22.26,0.84
60,2,4,34.55,26.333,23.78,0.79
61,2,4,34.919,26.375,24.47,0.78
62,2,4,35.288,26.801,24.05,0.73
63,2,4,35.657,27.498,22.88,0.72
64,2,4,36.036,28.247,21.62,0.75
65,2,4,36.415,28.808,20.89,0.82
68,2,4,37.555,29.229,22.17,0.73
69,2,4,37.943,30.613,19.32,0.71
70,2,4,38.328,33.045,13.79,0.7
71,2,4,38.712,34.868,9.93,0.79
72,2,4,39.095,35.495,9.21,0.83
73,2,4,39.48,35.033,11.26,0.73
80,2,4,42.092,34.687,17.59,0.74
81,2,4,42.439,34.754,18.11,0.77
82,2,4,42.786,35.529,16.96,0.69
85,2,4,43.81,37.57,14.24,0.74
86,2,4,44.148,40.659,7.9,0.74
91,2,4,45.507,42.975,5.56,0.63
101,2,4,47.421,42.903,9.53,0.69
103,2,4,47.636,42.679,10.4,0.69
104,2,4,47.743,42.512,10.96,0.68
105,2,4,47.85,42.69,10.79,0.67
105,0,38,29.464,35.918,21.91,0.69
106,2,4,47.958,43.202,9.92,0.71
106,0,38,27.452,35.918,30.84,0.79
107,2,4,48.065,44.012,8.43,0.65
107,0,38,25.44,35.741,40.49,0.67
108,2,4,48.173,45.087,6.41,0.61
108,0,38,23.429,35.065,49.67,0.68
109,2,4,48.207,46.403,3.74,0.62
109,0,38,21.447,33.845,57.81,0.73
110,2,4,48.241,47.945,0.61,0.61
110,0,38,19.465,32.266,65.77,0.65
111,2,4,48.274,49.501,2.54,0.62
111,0,38,17.483,30.599,75.02,0.69
112,2,4,48.307,50.667,4.89,0.73
113,2,4,48.34,50.355,4.17,0.63
115,2,4,48.404,49.771,2.82,0.61
116,2,4,48.437,48.618,0.37,0.55
117,2,4,48.471,47.647,1.7,0.52
118,2,4,48.505,46.918,3.27,0.52
130,2,50,48.368,47.345,2.11,0.69
141,2,58,47.945,39.492,17.63,0.78
143,2,58,47.807,40.194,15.92,0.64
145,2,58,47.673,40.72,14.58,0.7
146,2,58,47.603,42.867,9.95,0.71
152,2,58,47.276,44.826,5.18,0.68
160,2,58,46.958,46.296,1.41,0.7
176,2,58,46.803,47.254,0.96,0.66
177,2,58,46.801,47.834,2.21,0.7
178,2,58,46.799,48.27,3.14,0.72
180,2,78,32.934,27.593,16.22,0.85
180,2,58,46.785,48.219,3.07,0.75
181,2,78,31.551,27.593,12.54,0.87
182,2,78,30.17,27.099,10.18,0.87
182,2,58,46.771,47.179,0.87,0.73
183,2,78,28.778,26.169,9.07,0.84
184,2,78,27.388,25.165,8.12,0.81
184,2,58,46.762,44.56,4.71,0.74
185,2,78,25.997,24.384,6.2,0.84
186,2,78,24.607,23.723,3.59,0.9
187,2,78,23.215,23.137,0.34,0.9
