frame,obj_id,dist_gt,dist_pred,error_pct,iou
0,2,20.433,18.56,9.17,0.93
1,2,20.51,18.81,8.29,0.92
2,2,20.587,18.596,9.67,0.92
3,2,20.664,17.852,13.61,0.95
4,2,20.74,17.525,15.5,0.96
5,2,20.807,17.478,16.0,0.95
6,2,20.874,17.472,16.3,0.92
7,2,20.941,17.471,16.57,0.9
8,2,21.008,17.692,15.79,0.91
9,2,21.075,17.953,14.81,0.9
10,2,21.141,17.992,14.9,0.91
11,2,21.192,18.233,13.96,0.9
12,2,21.243,18.269,14.0,0.93
13,2,21.294,18.517,13.04,0.93
14,2,21.344,18.804,11.9,0.93
15,2,21.395,19.37,9.46,0.91
16,2,21.433,19.731,7.94,0.89
17,2,21.472,19.508,9.14,0.94
18,2,21.51,19.476,9.46,0.92
19,2,21.548,19.471,9.64,0.91
20,2,21.586,19.746,8.52,0.88
21,2,21.622,19.787,8.48,0.86
22,2,21.658,19.516,9.89,0.88
23,2,21.693,19.477,10.22,0.89
24,2,21.729,19.747,9.12,0.88
25,2,21.772,19.787,9.11,0.88
26,2,21.814,20.078,7.96,0.89
27,2,21.856,20.416,6.59,0.91
28,2,21.899,20.466,6.54,0.94
29,2,21.946,20.779,5.32,0.91
30,2,21.993,20.825,5.31,0.89
31,2,22.04,20.832,5.48,0.9
32,2,22.105,20.228,8.49,0.92
33,2,22.17,22.056,0.51,0.86
38,2,22.514,23.48,4.29,0.81
39,2,22.603,21.508,4.84,0.85
40,2,22.691,20.929,7.76,0.85
41,2,22.779,20.847,8.48,0.84
42,2,22.867,20.835,8.89,0.86
43,2,22.956,20.527,10.58,0.86
44,2,23.047,20.186,12.41,0.87
45,2,23.137,19.85,14.21,0.88
46,2,23.228,20.088,13.52,0.92
47,2,23.325,20.418,12.47,0.86
48,2,23.404,21.086,9.9,0.86
51,2,23.655,22.199,6.16,0.83
54,2,23.862,21.344,10.55,0.9
55,2,23.93,21.553,9.94,0.89
56,2,23.986,22.273,7.14,0.85
57,2,24.042,22.029,8.37,0.91
58,2,24.105,21.321,11.55,0.86
59,2,24.169,20.294,16.03,0.86
60,2,24.233,19.866,18.02,0.79
61,2,24.298,22.708,6.54,0.78
62,2,24.365,23.192,4.81,0.86
63,2,24.434,24.929,2.02,0.82
64,2,24.503,27.17,10.88,0.87
65,2,24.561,22.617,7.92,0.93
70,2,24.883,23.57,5.28,0.94
71,2,24.948,26.413,5.87,0.89
74,2,25.144,24.097,4.17,0.92
78,9,39.813,34.737,12.75,0.79
78,2,25.384,22.272,12.26,0.9
79,9,36.377,27.878,23.36,0.79
80,9,32.919,25.604,22.22,0.82
81,9,29.461,24.416,17.12,0.79
81,2,25.566,22.748,11.03,0.88
82,2,25.604,22.819,10.88,0.94
83,2,25.642,21.76,15.14,0.94
84,2,25.679,22.668,11.73,0.89
87,2,25.73,22.807,11.36,0.91
88,2,25.747,22.46,12.77,0.93
89,2,25.763,22.776,11.6,0.92
90,2,25.78,22.823,11.47,0.9
91,2,25.785,23.21,9.99,0.91
92,2,25.79,23.662,8.25,0.9
93,2,25.796,23.73,8.01,0.91
94,2,25.759,23.74,7.84,0.91
95,2,25.723,22.959,10.74,0.92
96,2,25.687,22.481,12.48,0.94
97,2,25.651,22.413,12.62,0.91
98,2,25.604,23.147,9.6,0.93
101,2,25.437,22.507,11.52,0.92
102,2,25.363,22.062,13.02,0.94
103,2,25.29,23.883,5.56,0.92
104,2,25.217,24.601,2.44,0.93
105,2,25.144,25.155,0.04,0.91
106,2,25.068,23.143,7.68,0.93
107,2,24.992,22.876,8.47,0.93
108,2,24.916,22.469,9.82,0.94
109,2,24.84,22.411,9.78,0.94
110,2,24.765,22.403,9.54,0.9
111,2,24.693,22.401,9.28,0.86
112,2,24.622,22.047,10.46,0.89
113,2,24.551,21.654,11.8,0.93
114,2,24.48,21.269,13.12,0.94
115,2,24.399,21.88,10.32,0.93
116,2,24.317,23.062,5.16,0.91
117,2,24.307,22.864,5.94,0.92
118,2,24.237,21.766,10.2,0.9
119,2,24.167,20.964,13.25,0.91
120,2,24.097,21.169,12.15,0.91
121,2,24.033,22.944,4.53,0.75
122,2,23.969,24.029,0.25,0.69
123,2,23.905,27.009,12.98,0.65
124,2,23.84,27.506,15.38,0.67
125,2,23.776,23.811,0.15,0.74
126,2,23.712,22.236,6.22,0.81
127,2,23.648,21.681,8.32,0.91
128,2,23.584,21.602,8.4,0.89
129,2,23.511,21.93,6.72,0.84
130,2,23.439,22.331,4.73,0.81
131,2,23.366,24.779,6.05,0.76
132,2,23.294,22.719,2.47,0.81
133,2,23.222,21.747,6.35,0.85
134,2,23.161,21.282,8.12,0.87
135,2,23.101,20.589,10.88,0.89
136,2,23.041,21.437,6.96,0.92
137,2,22.981,20.61,10.32,0.89
138,2,22.92,22.846,0.32,0.84
139,2,22.86,21.764,4.8,0.87
140,2,22.8,21.955,3.71,0.91
141,2,22.739,22.335,1.78,0.93
142,2,22.685,22.038,2.85,0.92
143,2,22.63,23.477,3.74,0.91
144,2,22.576,23.306,3.23,0.89
145,2,22.522,21.487,4.6,0.91
146,2,22.468,22.998,2.36,0.9
147,2,22.417,21.123,5.77,0.92
148,2,22.365,21.192,5.24,0.91
149,2,22.314,20.277,9.13,0.96
150,2,22.263,19.313,13.25,0.94
151,2,22.211,19.447,12.44,0.96
152,2,22.161,20.928,5.56,0.77
153,2,22.11,20.847,5.71,0.81
154,2,22.06,20.528,6.94,0.89
155,2,22.009,20.186,8.28,0.93
156,2,21.959,20.137,8.3,0.93
156,18,24.988,22.831,8.63,0.89
157,2,21.908,19.843,9.42,0.92
157,18,23.561,21.761,7.64,0.92
158,2,21.858,20.087,8.1,0.94
158,18,22.133,23.043,4.11,0.9
159,2,21.815,20.721,5.02,0.93
159,18,20.727,20.21,2.49,0.9
160,2,21.772,20.817,4.39,0.9
161,2,21.73,19.937,8.25,0.94
162,2,21.687,19.815,8.63,0.91
163,2,21.633,21.983,1.62,0.84
164,2,21.578,22.339,3.53,0.8
166,2,21.47,21.363,0.5,0.83
167,2,21.395,21.227,0.79,0.84
168,2,21.321,21.535,1.0,0.83
169,2,21.247,21.252,0.02,0.85
170,2,21.172,20.893,1.32,0.86
171,2,21.098,18.867,10.57,0.89
172,2,21.024,18.359,12.67,0.89
173,2,20.949,17.82,14.94,0.89
174,2,20.875,17.52,16.07,0.88
175,2,20.774,17.478,15.87,0.9
176,2,20.673,17.693,14.41,0.9
177,2,20.572,17.503,14.92,0.89
178,2,20.471,17.925,12.44,0.87
179,2,20.384,17.759,12.88,0.92
180,2,20.296,17.512,13.72,0.91
181,2,20.209,17.698,12.42,0.92
182,2,20.132,17.726,11.95,0.88
183,2,20.055,18.193,9.29,0.93
184,2,19.979,18.754,6.13,0.9
185,2,19.896,19.097,4.01,0.89
186,2,19.813,19.148,3.35,0.91
187,2,19.773,19.423,1.77,0.9
188,2,19.733,19.195,2.73,0.9
189,2,19.694,18.903,4.02,0.91
190,2,19.654,18.609,5.32,0.94
191,2,19.631,18.323,6.67,0.94
192,2,19.609,17.815,9.15,0.93
193,2,19.587,17.743,9.41,0.91
194,2,19.582,17.732,9.45,0.94
195,2,19.578,17.731,9.43,0.96
196,2,19.574,17.508,10.55,0.96
197,2,19.57,17.476,10.7,0.97
198,2,19.584,17.693,9.65,0.95
199,2,19.598,17.953,8.39,0.93
200,2,19.612,18.227,7.06,0.89
201,2,19.626,18.032,8.13,0.92
202,2,19.653,18.003,8.39,0.92
203,2,19.679,17.77,9.7,0.94
204,2,19.706,17.736,9.99,0.95
205,2,19.732,17.509,11.27,0.93
206,2,19.758,17.698,10.43,0.98
207,2,19.785,17.954,9.25,0.94
208,2,19.811,17.992,9.18,0.96
209,2,19.864,17.998,9.4,0.95
210,2,19.918,17.769,10.79,0.95
211,2,19.971,18.199,8.87,0.92
212,2,20.027,18.264,8.8,0.93
213,2,20.082,18.516,7.8,0.94
214,2,20.138,18.31,9.08,0.94
215,2,20.21,18.28,9.55,0.91
216,2,20.282,18.276,9.89,0.92
217,2,20.355,18.518,9.02,0.93
218,2,20.45,18.554,9.27,0.93
219,2,20.545,18.559,9.67,0.92
220,2,20.64,18.316,11.26,0.95
221,2,20.735,18.524,10.66,0.94
222,2,20.847,19.062,8.56,0.91
223,2,20.958,19.143,8.66,0.92
224,2,21.07,20.876,0.92,0.89
225,2,21.181,21.156,0.12,0.86
226,2,21.29,19.699,7.47,0.85
227,2,21.398,19.234,10.11,0.85
228,2,21.507,18.169,15.52,0.83
229,2,21.615,18.751,13.25,0.82
230,2,21.723,19.097,12.09,0.84
231,2,21.832,20.868,4.41,0.79
232,2,21.921,21.155,3.5,0.84
233,2,22.011,21.524,2.21,0.82
234,2,22.101,20.321,8.05,0.82
235,2,22.191,20.157,9.17,0.85
236,2,22.296,21.7,2.67,0.84
237,2,22.4,20.344,9.18,0.85
238,2,22.505,20.456,9.1,0.87
239,2,22.609,20.777,8.1,0.87
240,2,22.714,21.141,6.92,0.86
241,2,22.818,22.568,1.1,0.85
242,2,22.886,21.07,7.94,0.88
243,2,22.954,22.556,1.74,0.89
244,2,23.022,23.561,2.34,0.9
245,2,23.09,24.125,4.48,0.91
246,2,23.148,21.925,5.28,0.92
247,2,23.205,21.637,6.76,0.9
248,2,23.262,21.596,7.16,0.9
249,2,23.32,23.802,2.07,0.9
250,2,23.377,21.886,6.38,0.93
251,2,23.435,21.632,7.69,0.92
252,2,23.477,21.595,8.02,0.91
253,2,23.52,21.59,8.21,0.92
254,2,23.563,23.401,0.69,0.91
255,2,23.606,23.295,1.32,0.87
256,2,23.649,23.28,1.56,0.88
257,2,23.675,23.673,0.01,0.9
258,2,23.702,23.731,0.12,0.92
259,2,23.728,23.74,0.05,0.94
260,2,23.755,21.54,9.32,0.96
261,2,23.781,23.393,1.63,0.95
262,2,23.808,21.498,9.7,0.95
263,2,23.827,23.385,1.85,0.91
264,2,23.845,21.497,9.85,0.95
265,2,23.864,23.385,2.01,0.9
266,2,23.872,23.689,0.77,0.92
267,2,23.88,23.734,0.61,0.9
268,2,23.887,23.74,0.62,0.94
269,2,23.895,23.741,0.64,0.94
270,2,23.903,23.741,0.68,0.94
271,2,23.91,23.741,0.71,0.93
272,2,23.927,23.741,0.78,0.94
273,2,23.944,21.54,10.04,0.95
274,2,23.961,23.393,2.37,0.92
275,2,23.972,21.834,8.92,0.97
276,2,23.983,21.965,8.42,0.93
276,28,37.905,37.451,1.2,0.92
277,2,23.995,21.984,8.38,0.93
277,28,34.755,35.221,1.34,0.9
278,2,24.009,21.987,8.42,0.94
278,28,31.605,31.737,0.42,0.87
279,2,24.035,21.987,8.52,0.96
280,2,24.06,21.988,8.61,0.96
280,28,25.247,23.806,5.71,0.93
281,2,24.085,21.988,8.71,0.96
282,2,24.111,21.646,10.22,0.94
283,2,24.153,21.937,9.17,0.94
284,2,24.194,21.98,9.15,0.96
285,2,24.236,21.986,9.28,0.96
286,2,24.278,22.34,7.98,0.96
287,2,24.32,22.392,7.93,0.96
288,2,24.361,24.79,1.76,0.96
289,2,24.436,23.097,5.48,0.97
290,2,24.511,22.869,6.7,0.95
293,2,24.737,22.468,9.17,0.95
