seq,mre,inf_time,fps,map,miss_rate
0000,0.0721,40.02,25.0,0.63,39.18
0001,0.0918,34.59,28.9,0.72,16.42
0002,0.0745,39.08,25.6,0.77,0.0
0003,0.1148,40.34,24.8,0.87,1.3
0004,0.1189,36.4,27.5,0.77,0.0
0006,0.0389,37.39,26.7,0.79,0.0
0007,0.0742,36.04,27.7,0.75,9.64
0009,0.0978,36.06,27.7,0.75,2.58
0010,0.0948,38.53,26.0,0.89,0.0
0011,0.106,38.93,25.7,0.86,14.49
0013,0.0338,37.96,26.3,0.74,7.46
0015,0.1606,37.69,26.5,0.78,62.11
0016,0.1225,40.07,25.0,0.72,8.98
0017,0.3853,42.18,23.7,0.77,0.63
0018,0.163,37.47,26.7,0.86,0.0
0019,0.1554,37.67,26.5,0.7,8.43
0020,0.2444,37.18,26.9,0.84,0.32
