seq,mre,inf_time,fps,map,miss_rate
0000,0.0927,69.13,14.5,0.72,45.51
0001,0.0862,63.04,15.9,0.77,10.06
0002,0.0838,67.55,14.8,0.78,12.07
0003,0.095,75.23,13.3,0.85,0.0
0004,0.1065,70.71,14.1,0.77,2.63
0006,0.0514,66.2,15.1,0.8,2.99
0007,0.0749,67.87,14.7,0.79,8.73
0009,0.1063,69.26,14.4,0.75,13.39
0010,0.0823,71.2,14.0,0.89,0.0
0011,0.103,68.6,14.6,0.85,8.83
0013,0.0369,69.67,14.4,0.74,10.84
0015,0.2931,63.99,15.6,0.79,5.23
0016,0.1166,67.12,14.9,0.73,14.22
0017,0.4497,65.8,15.2,0.79,0.26
0018,0.2637,66.86,15.0,0.85,1.89
0019,0.1639,66.99,14.9,0.71,7.75
0020,0.2537,37.1,27.0,0.85,0.51
